               Date|        Records|               Bytes|          Packets|
2016/04/11T20:45:00|        5136.47|         27046424.26|        289869.80|
2016/04/11T20:50:00|        4997.03|         37641967.48|        464833.76|
2016/04/11T20:55:00|        8347.46|         92189864.61|        721135.60|
2016/04/11T21:00:00|        7436.60|         68993551.19|        766998.81|
2016/04/11T21:05:00|        7115.77|         72878340.46|        851486.10|
2016/04/11T21:10:00|        5827.84|         49312540.87|        584462.42|
2016/04/11T21:15:00|        4953.51|         39282270.42|        449915.51|
2016/04/11T21:20:00|        6295.21|        305390025.05|        775229.33|
2016/04/11T21:25:00|        6352.26|        536212851.73|       1006792.79|
2016/04/11T21:30:00|        6483.66|         49845797.57|        503535.12|
2016/04/11T21:35:00|        6770.21|         60906295.87|        702489.37|
2016/04/11T21:40:00|        5451.70|         58253759.34|        765097.46|
2016/04/11T21:45:00|        6244.38|         57950013.42|        736677.29|
2016/04/11T21:50:00|        6854.34|         63116009.89|        808323.70|
2016/04/11T21:55:00|        6944.98|         66691259.07|        971782.29|
2016/04/11T22:00:00|        6649.05|         42667277.40|        605683.89|
2016/04/11T22:05:00|        6807.54|         41636810.92|        616952.14|
2016/04/11T22:10:00|        7175.28|         48904582.58|        690711.14|
2016/04/11T22:15:00|        5239.89|         46760111.18|        721104.52|
2016/04/11T22:20:00|        5906.91|         39998576.93|        550710.30|
2016/04/11T22:25:00|        6093.97|         42780647.18|        594965.48|
2016/04/11T22:30:00|        6389.73|         36401196.13|        481574.16|
2016/04/11T22:35:00|        6398.16|         39823957.10|        521055.02|
2016/04/11T22:40:00|        6764.62|         41591915.68|        504171.29|
2016/04/11T22:45:00|        5700.84|         36719660.80|        419477.97|
2016/04/11T22:50:00|        6649.87|         38402111.68|        425187.57|
2016/04/11T22:55:00|        5769.17|         29452106.78|        331492.18|
2016/04/11T23:00:00|        6048.89|         38083481.66|        441860.57|
2016/04/11T23:05:00|        6145.08|         43333309.78|        570592.57|
2016/04/11T23:10:00|        6382.64|         49971081.74|        699024.43|
2016/04/11T23:15:00|        6298.76|         54385026.07|        762289.81|
2016/04/11T23:20:00|        6383.83|         75151897.18|       1163951.68|
2016/04/11T23:25:00|        6264.96|         88909049.67|        763976.88|
2016/04/11T23:30:00|        5643.80|        111796142.63|       1077070.86|
2016/04/11T23:35:00|        6350.82|        127323173.66|       1319990.83|
2016/04/11T23:40:00|        6539.35|        108057215.18|       1010778.77|
2016/04/11T23:45:00|        6694.95|         89049835.79|        950310.91|
2016/04/11T23:50:00|        6063.91|         67536235.32|        702797.15|
2016/04/11T23:55:00|        6439.38|         40714154.54|        619525.23|
2016/04/12T00:00:00|          23.64|          1947638.13|         30995.78|
